@Lemon24K - ("Delightful", "Easygoing" & "Kooky")
@AnimatingDragon - ("Astute", "Dispassionate" & "Adaptable")
@KSD1- - ("Gifted", "Sincere" & "Tenacious")
@blue1sun - ("Professional", "Thoughtless" & "Delicate")
@Winterbreath_dragon - ("Amiable", "Funny" & "Delicate")
@SkyCedar - ("Strong", "Inflexible" & "Tenacious")
@_PlantEater - ("Illustrious", "Consistent" & "Shrewd")
@TheRealmJumper - ("Defiant", "Honest" & "Plucky")
@Warriors_Studios - ("Popular", "Empathetic" & "Forthright")
@Sweetgrapes22 - ("Bright", "Wise" & "Courtly")
@RainGlassTea - ("Resilient", "Direct" & "Dauntless")
@steenie5 - ("Content", "Consistent" & "Belligerent")
@-Xx-Star_Girl-xX- - ("Cultured", "Moody" & "Pioneering")
@WhiskersTheFox7 - ("Teachable", "Inflexible" & "Frank")
@No1_PomniFan - ("Bright", "Thoughtful" & "Tenacious")
@DragonQueenZ - ("Fabulous", "Self-centered" & "Dauntless")
@Cereal_projects - ("Joyful", "Wise" & "Genial")
@pikachow9375 - ("Humble", "Cowardly" & "Pioneering")
@DumbCAT-Ade- - ("Amiable", "Shrewd" & "Versatile")
@Mistymarsh27 - ("Fanciful", "Hilarious" & "Affable")
@Cloud_Gazer - ("Authentic", "Funny" & "Shrewd")
@cookies-n-icecream - ("Mature", "Anxious" & "Visionary")
@Frost_cat02 - ("Smart", "Humorous" & "Philosophical")
@_aceheart543_ - ("Amiable", "Easygoing" & "Funky")
@Eevee585919 - ("Knowledgeable", "Silly" & "Dauntless")
@_0DD - ("Curious", "Shrewd" & "Plucky")
@kaypaws - ("Intelligent", "Crazy" & "Funky")
@-fowypaws- - ("Fashionable", "Self-confident" & "Eccentric")
@Pyrophyte - ("Fanciful", "Cynical" & "Circumspect")
@-CaliTheCat- - ("Farsighted", "Self-confident" & "Tenacious")
@myotheraltnowork - ("Intelligent", "Inflexible" & "Reclusive")
@snazybean - ("Gentle", "Broad-minded" & "Freewheeling")
@sillyther1an - ("Authentic", "Narrow-minded" & "Crotchety")
@GREEKFREAK2000 - ("Fanciful", "Dedicated" & "Zealous")
@_-YourLocalSkittle-_ - ("Gentle", "Untrustworthy" & "Adaptable")
@coolkid822_isback - ("Resourceful", "Wise" & "Freewheeling")
@LSTS314 - ("Gifted", "Cheerful" & "Convivial")
@Starlight__Nightsong - ("Knowledgeable", "Pessimistic" & "Placid")
@Cute_candyCorn - ("Unaffected", "Unassuming" & "Plucky")
@Bluedog-57 - ("Humble", "Cheerful" & "Cordial")
@QibliDaBorger - ("Educated", "Dependable" & "Delicate")
@numnumkaio - ("Humble", "Trustworthy" & "Cantankerous")
@InvisiblePanda89 - ("Agreeable", "Gentle" & "Touchy")
@BEEPBOPIROBOTFAN - ("Cultured", "Moody" & "Kooky")
@Pawlight93823 - ("Able", "Self-confident" & "Calculating")
@snoot14 - ("Defiant", "Dedicated" & "Freewheeling")
@peepy_weepy - ("Bright", "Direct" & "Genial")
@wolfaya - ("Strong", "Intellectual" & "Giddy")
@ILOVEWARRIORCATS-7 - ("Strong", "Humorous" & "Finicky")
@cometzz- - ("Incisive", "Thoughtless" & "Crafty")
@soph_thy_LOAF - ("Illustrious", "Diligent" & "Exuberant")
@RosedMeadow - ("Cute", "Untrustworthy" & "Versatile")
@-Bird-_ - ("Comfortable", "Considerate" & "Dauntless")
@Clyde_The_Snake - ("Well-respected", "Sensible" & "Eccentric")
@Box_cover - ("Joyful", "Humorous" & "Adaptable")
@HarryTheSparkly - ("Experienced", "Kind" & "Pigheaded")
@LimeKittyXwX - ("Popular", "Trustworthy" & "Charismatic")
@_-Lillies-_ - ("Humble", "Warmhearted" & "Funky")
@Augustleaf_OC - ("Fashionable", "Nice" & "Kooky")
@RainbowUnicorn_Kitty - ("Unaffected", "Wise" & "Exuberant")
@BOOKWORM676767 - ("Illustrious", "Nervous" & "Convivial")
@Strang3r- - ("Steady", "Gentle" & "Philosophical")
@veoshark_xo - ("Generous", "Funny" & "Zealous")
@-SwirledberryTart- - ("Gifted", "Carefree" & "Ebullient")
